route_id,service_id,trip_id,direction_id,shape_id
RC01,FULL,BinniBusRC01.0.005,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.006,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.007,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.008,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.009,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.010,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.011,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.012,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.013,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.014,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.015,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.016,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.017,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.018,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.019,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.020,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.021,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.022,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.023,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.024,0,BinniBusRC01
RC01,FULL,BinniBusRC01.1.001,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.002,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.003,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.004,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.005,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.006,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.007,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.008,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.009,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.010,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.011,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.012,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.013,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.014,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.015,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.016,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.017,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.018,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.019,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.020,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.021,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.022,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.023,1,BinniBusRC01
RC01,FULL,BinniBusRC01.1.024,1,BinniBusRC01
RC02,FULL,BinniBusRC02.0.001,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.002,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.003,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.004,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.005,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.006,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.007,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.008,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.009,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.010,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.011,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.012,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.013,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.014,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.015,0,BinniBusRC02
RC02,FULL,BinniBusRC02.0.016,0,BinniBusRC02
